roi	subject_id	num_bins	prf_ecc_bins	prf_pcm_bins_median	prf_r2_bins_median	prf_pcm_bins_ci_upper_bound	prf_pcm_bins_ci_lower_bound
V2	346137	0	0.0714004039764404	26.11652806996373	0.08667939901351925	38.83371892633317	12.883488216308852
V2	346137	1	0.1323451846837997	35.49836333330102	0.1006276607513427	46.78029566484053	2.953208551131512
V2	346137	2	0.2088805139064788	24.28188606806268	0.0973796272277832	45.7828114001721	10.416612091468249
V2	346137	3	0.3149589598178863	15.27587601842953	0.1570322513580322	29.64893557488427	3.707031229999752
V2	346137	4	0.5677568912506104	13.503536901710614	0.2574468231201172	22.66801111999234	4.716836707554148
V2	346137	5	0.8809854388237	8.858424495451347	0.2402585792541504	18.264761766867075	2.5827310787613222
V2	346137	6	1.518559813499451	6.327259871253855	0.35640859603881836	12.88182861874938	2.23013049644732
V2	346137	7	2.449782133102417	4.120967553210303	0.3888503265380859	7.492661202224182	1.7789179232525991
V2	346137	8	3.900487661361694	3.085607783853416	0.4398392868041992	6.647763150676298	1.2484592113437558
V2	346137	9	5.67128324508667	2.0646363628196926	0.348736343383789	4.340234471336155	0.863759199872261
V3	346137	0	0.0717625990509986	24.910757298873744	0.0593879795074462	35.16518966410461	16.42168834091957
V3	346137	1	0.1258263140916824	26.64889605501993	0.0976996994018554	46.73193922053407	13.964019684485844
V3	346137	2	0.2166846096515655	30.183362314062347	0.1090013980865478	44.424962377888576	16.819135621748227
V3	346137	3	0.3484865128993988	18.304884945537747	0.1583552360534668	27.28643787691362	11.977928435358114
V3	346137	4	0.5574102401733398	13.518990522626146	0.2149896621704101	23.403765463574807	6.453577337073719
V3	346137	5	0.9305047988891602	10.96138898780822	0.2794853401184082	19.33085453457149	3.266736177706753
V3	346137	6	1.4594284296035769	7.933178396637806	0.3347076797485351	19.04930519583747	3.0056609218781745
V3	346137	7	2.316402196884156	4.57335528636218	0.3702679443359375	7.264058065427646	2.2243374561886493
V3	346137	8	3.92736291885376	3.07771716603644	0.3725973510742187	5.459178133594235	1.6178530747173754
V3	346137	9	5.625248432159424	2.1896288880809096	0.3429616165161133	4.268717353432004	0.8573234501373905
V1	412528	0	NaN	NaN	NaN	NaN	NaN
V1	412528	1	NaN	NaN	NaN	NaN	NaN
V1	412528	2	NaN	NaN	NaN	NaN	NaN
V1	412528	3	NaN	NaN	NaN	NaN	NaN
V1	412528	4	0.550442636013031	8.295426752604046	0.0865884971618652	11.546112253143257	5.8803794007481365
V1	412528	5	0.9520000219345092	11.109878199948373	0.210717430114746	24.88960799710765	5.33313974974409
V1	412528	6	1.637080192565918	5.907851926940914	0.3497089004516601	11.0393696062153	3.8385846924169353
V1	412528	7	2.5588204860687256	5.789642230574472	0.5395728302001953	12.81107681724747	2.4025273806180008
V1	412528	8	3.94943618774414	2.766709541471284	0.5933638763427734	6.767509382649404	1.7498835859259714
V1	412528	9	5.73116397857666	2.403790476527727	0.5787025833129883	4.064894390326277	1.494924610016663
V2	412528	0	NaN	NaN	NaN	NaN	NaN
V2	412528	1	NaN	NaN	NaN	NaN	NaN
V2	412528	2	NaN	NaN	NaN	NaN	NaN
V2	412528	3	0.4164327383041382	42.48098221926454	0.0941569232940673	48.80741868663544	14.532682467622587
V2	412528	4	0.6259439587593079	11.122032481838646	0.0910359001159668	45.695420974635645	1.5867239161955846
V2	412528	5	1.0091338157653809	9.56395431091642	0.3055311965942383	16.573118283685023	3.779963100192413
V2	412528	6	1.4374231100082395	7.252563339283149	0.3729996490478515	14.689375205152755	2.8283616915700933
V2	412528	7	2.562150955200196	4.833830442361664	0.4662710571289062	10.75684765142024	1.4713165531355974
V2	412528	8	3.848377943038941	2.9299945081291896	0.5173512649536133	5.448010066603192	1.0795308896909532
V2	412528	9	5.712054252624512	2.38636918305031	0.540771598815918	5.550874775155689	0.931225779550794
V3	412528	0	NaN	NaN	NaN	NaN	NaN
V3	412528	1	NaN	NaN	NaN	NaN	NaN
V3	412528	2	0.2005842477083206	4.437825524467836	0.0600290298461914	4.659052462446512	4.312071945382257
V3	412528	3	0.4254235029220581	19.711476028105658	0.06384325027465815	35.50938918498352	11.746743334533033
V3	412528	4	0.6503429412841797	8.004051237979345	0.1523174095153808	20.279655993880937	5.465219554138948
V3	412528	5	0.94468492269516	10.24833769974982	0.3369377136230468	17.383089882512532	4.967998266713707
V3	412528	6	1.4596989154815674	7.636313595009826	0.5409678268432617	19.626557932161	3.747707062560544
V3	412528	7	2.55683708190918	4.344241910445597	0.5562107467651367	8.212661287053296	1.7983510785832046
